company,company_key,prediction_date,horizon_end,ranking_score,label_state
Coactive Systems Inc.,coactivesystems,2024-05-21,2027-05-21,0.6193527529941627,insufficient_followup
WindBorne Systems Inc.,windbornesystems,2024-05-29,2027-05-29,0.6157850344467775,insufficient_followup
"SpectraWAVE, Inc.",spectrawave,2024-09-11,2027-09-11,0.6147231022325353,insufficient_followup
Secro Inc.,secro,2025-05-30,2028-05-30,0.6131524622277207,insufficient_followup
Architect Financial Technologies Inc.,architectfinancial,2025-12-23,2028-12-23,0.6122515384684898,insufficient_followup
"MealMe, Inc.",mealme,2024-03-14,2027-03-14,0.6115427068784383,insufficient_followup
"Ignite Reading, PBC",ignitereading,2024-10-15,2027-10-15,0.6101763112815957,insufficient_followup
"Industrial Microbes, Inc.",industrialmicrobes,2024-11-19,2027-11-19,0.6079693904119989,insufficient_followup
"Allstacks, Inc.",allstacks,2024-08-20,2027-08-20,0.6069526885585583,insufficient_followup
Greenhorn Wellness Private Limited,greenhornwellnessprivate,2023-09-20,2026-09-20,0.605956041667806,insufficient_followup
"Foundation LLM Technologies, Inc.",foundationllm,2025-06-30,2028-06-30,0.6032616231925063,insufficient_followup
"ClosingLock, Inc.",closinglock,2024-01-29,2027-01-29,0.6023055679128477,insufficient_followup
"Palm Tree Crew Holdings, LLC",palmtreecrew,2025-09-09,2028-09-09,0.60042868837489,insufficient_followup
"Tomo Networks, Inc.",tomonetworks,2025-07-14,2028-07-14,0.6003283671683249,insufficient_followup
"Crossover Markets Group, Inc.",crossovermarkets,2026-03-04,2029-03-04,0.6002899158556516,insufficient_followup
"Zip Security, Inc.",zipsecurity,2025-07-14,2028-07-14,0.5998596193321022,insufficient_followup
Arkea Bio Corp.,arkeabio,2024-05-08,2027-05-08,0.5993154619235418,insufficient_followup
"Riot Security, Inc.",riotsecurity,2025-02-03,2028-02-03,0.5983944602173681,insufficient_followup
"Polimorphic, Inc.",polimorphic,2025-06-09,2028-06-09,0.5982285403533149,insufficient_followup
"Front Office Sports, LLC",frontofficesports,2023-10-02,2026-10-02,0.5975376761005906,insufficient_followup
"Cala Health, Inc.",calahealth,2024-12-09,2027-12-09,0.5974726909954483,insufficient_followup
Puzzl Group Inc.,puzzl,2024-10-10,2027-10-10,0.597372079012698,insufficient_followup
"Anterior, Inc.",anterior,2024-06-09,2027-06-09,0.5965384053167428,insufficient_followup
IceMOS Technology Ltd.,icemos,2025-03-01,2028-03-01,0.5962422410921054,insufficient_followup
"Topsort, Inc.",topsort,2024-07-16,2027-07-16,0.5952130910580726,insufficient_followup
Vesta Healthcare,vestahealthcare,2024-03-13,2027-03-13,0.5948900240793936,insufficient_followup
Matia Inc.,matia,2026-02-10,2029-02-10,0.5942804435440259,insufficient_followup
"Pickle Poll, Inc.",picklepoll,2025-03-12,2028-03-12,0.5940489338871463,insufficient_followup
Pydantic Services Inc.,pydanticservices,2024-10-01,2027-10-01,0.5939486893164875,insufficient_followup
dappOS technology,dappos,2024-03-28,2027-03-28,0.5932763541163784,insufficient_followup
"Quanta Financial, Inc.",quantafinancial,2025-12-04,2028-12-04,0.5929906303604263,insufficient_followup
"Edera, Inc.",edera,2025-02-06,2028-02-06,0.592518928832452,insufficient_followup
"Tofu Technologies, Inc.",tofu,2025-02-13,2028-02-13,0.5908602360015431,insufficient_followup
"Adden Energy, Inc.",addenenergy,2024-09-03,2027-09-03,0.5899850354868486,insufficient_followup
"Enveda Therapeutics, Inc.",envedatherapeutics,2025-02-26,2028-02-26,0.5877795540930625,insufficient_followup
Bluebear Technologies Private Limited,bluebearprivate,2025-05-08,2028-05-08,0.5849199212441778,insufficient_followup
Tractian Technologies Inc.,tractian,2024-12-09,2027-12-09,0.5839017835381488,insufficient_followup
Euler Motors Private Limited,eulermotorsprivate,2025-05-19,2028-05-19,0.5828286132030127,insufficient_followup
"Mobia Medical, Inc. (NasdaqGS:MOBI)",mobiamedicalnasdaqgsmobi,2025-03-12,2028-03-12,0.5822863054407813,insufficient_followup
Wherobots Inc.,wherobots,2024-11-26,2027-11-26,0.5820770374232226,insufficient_followup
Agnikul Cosmos Private Limited,agnikulcosmosprivate,2025-11-22,2028-11-22,0.5807724031514294,insufficient_followup
UNIGRID Inc.,unigrid,2024-06-13,2027-06-13,0.5795561335566167,insufficient_followup
Pickle Robot Company,picklerobot,2024-11-20,2027-11-20,0.5784249242075028,insufficient_followup
"Realm.Security, Inc.",realmsecurity,2025-12-11,2028-12-11,0.5781026486803792,insufficient_followup
"Mechanical Orchard, Inc.",mechanicalorchard,2024-02-07,2027-02-07,0.5748794527825279,insufficient_followup
Tessolve Semiconductor Pvt. Ltd.,tessolvesemiconductorpvt,2025-09-01,2028-09-01,0.5744389452058923,insufficient_followup
CoverTree Inc.,covertree,2024-05-09,2027-05-09,0.5739752395863609,insufficient_followup
"CoParse, Inc.",coparse,2024-11-27,2027-11-27,0.5739054697391495,insufficient_followup
Shinkei Systems Corp.,shinkeisystems,2025-06-12,2028-06-12,0.5731612252053058,insufficient_followup
"Yunding Network Technology (Beijing)Co.,LTD.",yundingnetworkbeijing,2025-11-30,2028-11-30,0.5727669689058863,insufficient_followup
PerfectTed,perfectted,2025-10-04,2028-10-04,0.5722172598640106,insufficient_followup
"Skipper Pets, Inc.",skipperpets,2026-06-05,2029-06-05,0.5707515333288374,insufficient_followup
"Vanqua Bio, Inc.",vanquabio,2024-07-05,2027-07-05,0.5705534465066082,insufficient_followup
"OnSiteIQ, Inc.",onsiteiq,2023-10-24,2026-10-24,0.5705233267189135,insufficient_followup
Contoro Inc.,contoro,2025-03-20,2028-03-20,0.5683697748201153,insufficient_followup
Stable-Alpha Technologies Private Limited,stablealphaprivate,2025-05-23,2028-05-23,0.5682816951201537,insufficient_followup
"Yardstik, Inc.",yardstik,2023-10-17,2026-10-17,0.5671044644957995,insufficient_followup
"Turnkey Global, Inc.",turnkeyglobal,2024-04-23,2027-04-23,0.5669902589784658,insufficient_followup
Plant Meat Limited,plantmeat,2024-06-17,2027-06-17,0.5662950209357869,insufficient_followup
Texture Corp.,texture,2025-10-23,2028-10-23,0.5654662054667479,insufficient_followup
"Protego Biopharma, Inc.",protegobiopharma,2025-12-01,2028-12-01,0.5645337301534693,insufficient_followup
"Paramify, Inc.",paramify,2025-12-18,2028-12-18,0.5643013478315071,insufficient_followup
Liberate Innovations Inc.,liberateinnovations,2025-10-15,2028-10-15,0.563981268059459,insufficient_followup
"Octave Bioscience, Inc.",octavebioscience,2023-11-24,2026-11-24,0.5639029376658196,insufficient_followup
Ternary Inc.,ternary,2023-10-23,2026-10-23,0.563583055278208,insufficient_followup
"evolvedMD, LLC",evolvedmd,2025-07-14,2028-07-14,0.5634322707849629,insufficient_followup
"Cyvl, Inc.",cyvl,2025-10-01,2028-10-01,0.5633468773517888,insufficient_followup
"Sora Fuel, Corporation",sorafuel,2026-03-31,2029-03-31,0.5624872833939267,insufficient_followup
Osmoses Inc.,osmoses,2023-10-03,2026-10-03,0.5623275936167856,insufficient_followup
"SchooLinks, Inc.",schoolinks,2024-10-21,2027-10-21,0.561000908389437,insufficient_followup
"123 See, Inc.",123see,2025-07-16,2028-07-16,0.5608884031320639,insufficient_followup
Ecozen Solutions Pvt. Ltd.,ecozensolutionspvt,2024-05-02,2027-05-02,0.560623888227037,insufficient_followup
Pocket FM Private Limited,pocketfmprivate,2024-03-20,2027-03-20,0.5602028889106829,insufficient_followup
"Allora Health, Inc.",allorahealth,2023-08-31,2026-08-31,0.5597089754294337,insufficient_followup
"Authentic Insurance Services, Inc.",authenticinsuranceservices,2024-03-26,2027-03-26,0.5595583422846048,insufficient_followup
"Zanskar Geothermal & Minerals, Inc.",zanskargeothermalminerals,2024-05-06,2027-05-06,0.5594079006861835,insufficient_followup
Grayquest Education Finance Private Limited,grayquesteducationfinanceprivate,2025-01-09,2028-01-09,0.5592589939333362,insufficient_followup
Apono Inc.,apono,2024-09-30,2027-09-30,0.5590856727438202,insufficient_followup
"Data Truck, L.L.C.",datatruckllc,2026-01-28,2029-01-28,0.5585311491144742,insufficient_followup
"Fieldguide, Inc.",fieldguide,2026-02-02,2029-02-02,0.5582964697511885,insufficient_followup
"BioAge Labs, Inc. (NasdaqGS:BIOA)",bioagenasdaqgsbioa,2024-02-13,2027-02-13,0.5546438225997022,insufficient_followup
"Helix Earth Technologies, Inc.",helixearth,2026-03-26,2029-03-26,0.5540557072801332,insufficient_followup
